course	section	lesson	file	has_mermaid	has_non_mermaid_snippet	priority	reason
Android	00-core-mobile	Dependency governance y supply chain	00-core-mobile/09-dependency-governance-supply-chain.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Plantillas operativas (copy/paste)	00-core-mobile/10-plantillas.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Crosswalk iOS ↔ Android	00-core-mobile/11-crosswalk-ios-android.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	1) Purpose of This Document	00-core-mobile/12-mobile-architect-parity-ios-android.md	no	no	P0	missing_mermaid_and_snippet
Android	00-core-mobile	Changelog	00-core-mobile/CHANGELOG.md	no	no	P0	missing_mermaid_and_snippet
Android	00-nivel-cero	Nivel Cero · Introducción	00-nivel-cero/00-introduccion.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · Setup	00-nivel-cero/00-setup.md	no	no	P0	missing_mermaid_and_snippet
Android	00-nivel-cero	Nivel Cero · 01 · Qué es software	00-nivel-cero/01-que-es-software.md	no	no	P0	missing_mermaid_and_snippet
Android	00-nivel-cero	Nivel Cero · 02 · Lógica básica	00-nivel-cero/02-logica-basica.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 03 · Primer Kotlin	00-nivel-cero/03-primer-kotlin.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 04 · Variables y tipos	00-nivel-cero/04-variables-y-tipos.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 05 · Condicionales y bucles	00-nivel-cero/05-condicionales-y-bucles.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 06 · Funciones	00-nivel-cero/06-funciones.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 07 · Errores frecuentes	00-nivel-cero/07-errores-frecuentes.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 08 · Android Studio desde cero	00-nivel-cero/08-android-studio-desde-cero.md	no	no	P0	missing_mermaid_and_snippet
Android	00-nivel-cero	Nivel Cero · 09 · Primera app con Compose	00-nivel-cero/09-primera-app-compose.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 10 · Inputs y validación	00-nivel-cero/10-inputs-y-validacion.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 11 · Navegación simple	00-nivel-cero/11-navegacion-simple.md	no	yes	P1	missing_mermaid
Android	00-nivel-cero	Nivel Cero · 12 · Proyecto integrador: Rutina Diaria	00-nivel-cero/12-proyecto-rutina-diaria.md	no	no	P0	missing_mermaid_and_snippet
Android	00-nivel-cero	Entregables de Nivel Cero	00-nivel-cero/entregables-nivel-cero.md	no	no	P0	missing_mermaid_and_snippet
Android	01-junior	Nivel Junior · 00 · De Nivel Cero a desarrollo Android real	01-junior/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
Android	01-junior	Nivel Junior · 00-setup · Entorno profesional Android paso a paso	01-junior/00-setup-junior.md	no	no	P0	missing_mermaid_and_snippet
Android	01-junior	Nivel Junior · 01 · Arquitectura Android recomendada sin complicarte la vida	01-junior/01-arquitectura-android-recomendada.md	no	yes	P1	missing_mermaid
Android	01-junior	Nivel Junior · 02 · Primera feature profesional: estado, eventos, ViewModel y repositorio	01-junior/02-feature-base-practica.md	no	yes	P1	missing_mermaid
Android	01-junior	Nivel Junior · 03 · Navegación moderna con Navigation Compose (explicada sin saltos)	01-junior/03-navegacion-moderna-navigation-compose.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 04 · Hilt desde cero, sin magia y con contexto real	01-junior/04-hilt-integracion-inicial.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 05 · Room offline-first explicado desde la base	01-junior/05-room-offline-first.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 06 · DataStore explicado de verdad: preferencias y estado ligero	01-junior/06-datastore-estado-ligero.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 07 · WorkManager explicado sin lagunas: tareas persistentes en segundo plano	01-junior/07-workmanager-tareas-persistentes.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 08 · Compose UI Testing sin atajos: prueba lo que ve el usuario	01-junior/08-compose-ui-testing.md	yes	yes	P2	ok
Android	01-junior	Nivel Junior · 09 · Pruebas unitarias de ViewModel y repositorio explicadas paso a paso	01-junior/09-pruebas-unitarias-viewmodel-repositorio.md	yes	yes	P2	ok
Android	01-junior	Entregables de Nivel Junior	01-junior/entregables-nivel-junior.md	no	no	P0	missing_mermaid_and_snippet
Android	02-midlevel	Nivel Midlevel · 00 · Qué cambia desde Junior y por qué	02-midlevel/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
Android	02-midlevel	Nivel Midlevel · 01 · Capa de red robusta con Retrofit y OkHttp, guiada paso a paso	02-midlevel/01-red-robusta-retrofit-okhttp.md	yes	yes	P2	ok
Android	02-midlevel	Nivel Midlevel · 02 · Offline-first y sincronización local/remoto, paso a paso	02-midlevel/02-offline-first-sincronizacion.md	yes	yes	P2	ok
Android	02-midlevel	Nivel Midlevel · 03 · Consistencia y resolución de conflictos sin perder datos	02-midlevel/03-consistencia-y-resolucion-de-conflictos.md	yes	yes	P2	ok
Android	02-midlevel	Nivel Midlevel · 04 · Observabilidad y diagnóstico en Android, sin adivinar errores	02-midlevel/04-observabilidad-y-diagnostico.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 05 · Pruebas de integración para offline-first y sincronización real	02-midlevel/05-pruebas-de-integracion-offline-sync.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 06 · Quality Gates en CI para proteger offline-sync en cada PR	02-midlevel/06-quality-gates-ci-offline-sync.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 07 · Rendimiento en CI con Macrobenchmark y Baseline Profiles	02-midlevel/07-performance-ci-macrobenchmark-baselineprofiles.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 08 · Observabilidad en producción: métricas y alertas que te avisan antes del usuario	02-midlevel/08-observabilidad-produccion-metricas-alertas.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 09 · Decidir qué tocar primero usando métricas reales	02-midlevel/09-decisiones-evolutivas-con-metricas.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 10 · Gobernanza de dependencias entre features sin romper la arquitectura	02-midlevel/10-gobernanza-dependencias-entre-features.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 11 · Versionado de contratos internos sin romper a otros equipos	02-midlevel/11-versionado-contratos-internos.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Nivel Midlevel · 12 · Evolución de navegación y deep links sin romper rutas existentes	02-midlevel/12-evolucion-navegacion-y-deeplinks-compatibles.md	no	yes	P1	missing_mermaid
Android	02-midlevel	Entregables de Nivel Midlevel	02-midlevel/entregables-nivel-midlevel.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 00 · Introducción: de construir features a operar producto real	03-senior/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
Android	03-senior	Nivel Senior · 01 · Release strategy y rollback seguro en Android	03-senior/01-release-strategy-y-rollback-seguro.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 02 · Incident response y runbooks operativos en Android	03-senior/02-incident-response-y-runbooks-operativos.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 03 · SLOs, error budgets y priorización real de fiabilidad en Android	03-senior/03-slos-error-budgets-priorizacion-fiabilidad.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 04 · Tablero operativo de fiabilidad y alertas que sí ayudan	03-senior/04-tablero-operativo-fiabilidad-y-alertas-accionables.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 05 · Gobernanza técnica de sprint: decidir con evidencia cuando roadmap y fiabilidad chocan	03-senior/05-gobernanza-tecnica-de-sprint-fiabilidad-vs-roadmap.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 06 · Simulación completa de sprint bajo presión: cómo decidir sin improvisar	03-senior/06-simulacion-sprint-bajo-presion-roadmap-y-fiabilidad.md	no	yes	P1	missing_mermaid
Android	03-senior	Nivel Senior · 07 · Cierre de Senior: consolidar capacidades antes de escalar a Maestría	03-senior/07-cierre-del-bloque-senior-y-transicion-a-maestria.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 00 · Introducción: escalar sin perder claridad	04-maestria/00-introduccion.md	no	no	P0	missing_mermaid_and_snippet
Android	04-maestria	Nivel Maestría · 01 · Contratos evolutivos entre dominios Android	04-maestria/01-contratos-evolutivos-entre-dominios.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 02 · Bounded Contexts y ownership técnico en Android real	04-maestria/02-bounded-contexts-y-ownership-tecnico.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 03 · Mapa de dependencias y acoplamiento circular en Android	04-maestria/03-mapa-de-dependencias-y-acoplamiento-circular.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 04 · Migraciones transversales sin bloqueo en Android	04-maestria/04-migraciones-transversales-sin-bloqueo.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 05 · Coordinación de release, rollback y comunicación técnica en migraciones Android	04-maestria/05-coordinacion-release-rollback-y-comunicacion-tecnica.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 06 · Evolución multi‑equipo y gobernanza trimestral en Android	04-maestria/06-evolucion-multi-equipo-y-gobernanza-trimestral.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 07 · Defensa técnica del proyecto Android	04-maestria/07-defensa-tecnica-del-proyecto-android.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 08 · Cierre del proyecto final y publicación en Play Store	04-maestria/08-cierre-proyecto-final-y-publicacion-play-store.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 09 · Rúbrica final y entrevista técnica Android	04-maestria/09-rubrica-final-y-entrevista-tecnica-android.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 10 · Plan de 90 días después del curso	04-maestria/10-plan-de-90-dias-despues-del-curso.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 11 · Epílogo profesional y siguientes retos	04-maestria/11-epilogo-profesional-y-siguientes-retos.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 12 · Casos reales y antipatrones de equipos Android	04-maestria/12-casos-reales-y-antipatrones-de-equipos-android.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 13 · Operación a largo plazo y deuda técnica en Android	04-maestria/13-operacion-largo-plazo-y-deuda-tecnica.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 14 · Tu primer año en un equipo Android real	04-maestria/14-primer-ano-en-equipo-android-real.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 15 · Mapa de carrera Android: de junior a senior con criterio	04-maestria/15-mapa-de-carrera-android-de-junior-a-senior.md	no	yes	P1	missing_mermaid
Android	04-maestria	Nivel Maestría · 16 · Cierre definitivo del recorrido Android	04-maestria/16-cierre-definitivo-del-recorrido-android.md	no	yes	P1	missing_mermaid
Android	05-proyecto-final	Proyecto final integrador · RuralGO FieldOps	05-proyecto-final/00-brief-ruralgo-fieldops.md	no	yes	P1	missing_mermaid
Android	05-proyecto-final	Brief del proyecto final	05-proyecto-final/00-brief.md	no	no	P0	missing_mermaid_and_snippet
Android	05-proyecto-final	Rúbrica de empleabilidad técnica · Proyecto final	05-proyecto-final/01-rubrica-empleabilidad.md	no	yes	P1	missing_mermaid
Android	05-proyecto-final	Evidencias obligatorias de aprendizaje y calidad	05-proyecto-final/02-evidencias-obligatorias.md	no	yes	P1	missing_mermaid
Android	05-proyecto-final	Operación Senior del proyecto final	05-proyecto-final/03-operacion-senior.md	no	yes	P1	missing_mermaid
Android	05-proyecto-final	Gobernanza Maestría del proyecto final	05-proyecto-final/04-gobernanza-maestria.md	no	yes	P1	missing_mermaid
SDD	00-preparacion	Semana 0 · Bienvenida: qué vas a aprender realmente en SDD + IA	00-preparacion/00-bienvenida-y-como-estudiar.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Setup macOS y Xcode para ejecutar el flujo sin bloqueos	00-preparacion/01-setup-macos-xcode.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Terminal básica para no perderte en el repositorio	00-preparacion/02-terminal-basica.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Git desde cero aplicado al ciclo de ticket	00-preparacion/03-git-desde-cero.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Swift básico para entender contratos de dominio	00-preparacion/04-swift-basico-para-sdd.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · SPM y primer test para arrancar con red de seguridad	00-preparacion/05-spm-y-primer-test.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Checkpoint de preparación antes de entrar en Semana 1	00-preparacion/06-checkpoint-preparacion.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Prompt Engineering core para trabajar SDD con precisión y sin ruido	00-preparacion/07-prompt-engineering-core.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Copiloto operativo: CLI, IDE y extensión sin cambiar el método SDD	00-preparacion/08-copiloto-operativo-cli-ide-extension.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Context Engineering: receta operativa para resultados consistentes con IA	00-preparacion/09-context-engineering-receta.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Context pack por ticket y formato de salida para ejecutar sin fricción	00-preparacion/10-context-pack-y-formato-de-salida.md	yes	yes	P2	ok
SDD	00-preparacion	Semana 0 · Checkpoint final de Context Engineering antes de Semana 1	00-preparacion/11-checkpoint-context-engineering.md	yes	yes	P2	ok
SDD	01-roadmap	Mapa maestro de 16 semanas: SDD enterprise de 0 a 100	01-roadmap/00-mapa-16-semanas.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1: así arranca un ticket enterprise de verdad	02-semana-01/00-semana-01-introduccion.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 1: de un dolor difuso a un problema accionable	02-semana-01/01-problema-negocio.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 2: OpenSpec como contrato, no como documento decorativo	02-semana-01/02-spec-inicial.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 3: BDD como puente entre negocio y código	02-semana-01/03-bdd-escenarios.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 4: TDD para convertir escenarios en comportamiento confiable	02-semana-01/04-tdd-primer-ciclo.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 5: pasar de pruebas verdes a producción defendible	02-semana-01/05-codigo-produccion.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 6: refactor sin romper confianza	02-semana-01/06-refactor-evidencia.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 7: cerrar con criterio, no con sensación	02-semana-01/07-checkpoint-evaluacion.md	yes	yes	P2	ok
SDD	02-semana-01	Semana 1 · Lección 8: bitácora auditable para cerrar el ticket de verdad	02-semana-01/08-bitacora-commits.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2: cuando un ticket deja de ser un dato y se convierte en un proceso gobernado	03-semana-02/00-semana-02-roadmap.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 1: el problema real no es "cambiar estado", es gobernar una historia de trabajo	03-semana-02/01-problema-lifecycle.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 2: llevar el problema a OpenSpec para que el equipo deje de discutir opiniones	03-semana-02/02-spec-lifecycle-v1.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 3: BDD del lifecycle para que todos evalúen lo mismo sin abrir Xcode	03-semana-02/03-bdd-lifecycle.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 4: TDD de lifecycle para que una regresión se detecte en segundos	03-semana-02/04-tdd-lifecycle.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 5: código de producción del lifecycle con arquitectura limpia	03-semana-02/05-codigo-lifecycle.md	yes	yes	P2	ok
SDD	03-semana-02	Semana 2 · Lección 6: refactor con trazabilidad para que el cambio no dependa de tu memoria	03-semana-02/06-refactor-trazabilidad.md	yes	yes	P2	ok
